Name,Link,Universe,Other Aliases,Education,Place of Origin,Identity,Known Relatives
Amphibion,https://www.marvel.com/characters/amphibion,['Marvel Universe'],['unrevealed'],['Extensive combat training'],"['Planet Xantar, Xantares star system, Milky Way galaxy']",['No dual identity'],['Unnamed life-mate and offspring']
Amphibius,https://www.marvel.com/characters/amphibius,['Marvel Universe'],['None'],['Unrevealed'],"['Savage Land, Antarctica']",['Secret'],['None']
Amun,https://www.marvel.com/characters/amun,['Marvel Universe'],['unrevealed'],['High school student'],['Egypt'],['Secret'],['Father (deceased)']
Anaconda,https://www.marvel.com/characters/anaconda,['Marvel Universe'],['None'],['High school dropout'],"['Pittsburgh, Pennsylvania']",['Known to authorities'],['Unknown']
Anak,https://www.marvel.com/characters/anak,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Secret'],['None']
Ananastasia,https://www.marvel.com/characters/ananastasia,['Marvel Universe'],['None'],['Unrevealed'],"['Congers, New York']",['No dual identity'],['None']
Anarchist,https://www.marvel.com/characters/anarchist,['Marvel Universe'],['unrevealed'],['High school graduate'],['Unknown'],['Publicly known'],"['Unidentified foster father, mother, and grandfather']"
Ancient One,https://www.marvel.com/characters/ancient-one,['Marvel Universe'],"['bTsan Saa, the High Lama, the Master, the Mystic, the Spirit Leopard']","['Prolonged study of sorcery, 15th-century medical training']",['Tibet'],['Existence unknown to the present-day Earth'],"['Leung (wife, deceased)']"
Andrea,https://www.marvel.com/characters/andrea-andreas-von-strucker-ultimate,['Ultimate'],['None'],['Unknown'],['Unknown'],['Secret'],['(Andreas) Andrea (sister or wife); (Andrea) Andreas (brother or husband)']
Android Man,https://www.marvel.com/characters/android-man,['Marvel Universe'],['Super-Android'],['Programmed for limited independent thought.'],"[""Thinker's lab""]",['No dual identity'],['Mad Thinker (creator)']
Aneka,https://www.marvel.com/characters/aneka,,,,,,
Anelle,https://www.marvel.com/characters/anelle,['Marvel Universe'],['None'],['Unrevealed'],['Skrull homeworld'],['Publicly Known in Skrull Empire'],"[""Dorrek VIII (Hulkling, son), Dorrek VII (father, deceased), R'kill (mother, deceased), unidentified grandfather (deceased), Dorrek I (ancestor, deceased)""]"
Anesthesia,https://www.marvel.com/characters/anesthesia-ana,['Marvel Universe'],"['Agent Anesthesia, Anna']",['Unrevealed'],['Unrevealed'],['Secret'],['Unidentified parents']
Angar the Screamer,https://www.marvel.com/characters/angar-the-screamer,['Marvel Universe'],['Master of the Mind Storm'],,"['San Francisco, California']",['Publicly known'],['None']
Angel,https://www.marvel.com/characters/angel-angel-salvadore,['Marvel Universe'],['None'],['Various courses at Xavier Institute (no degree)'],['Unrevealed location in Wyoming'],['Secret'],"['Unidentified mother, step-father & sister; Beak (husband), Tito (son), Axel (son), Kara (daughter), three unidentified children']"
Angel,https://www.marvel.com/characters/angel-earth-311,['Marvel 1602 (Earth-311)'],['None'],['Educated by Carlos Javier'],['Unrevealed'],['Publicly known'],['Unnamed mother']
Angel,https://www.marvel.com/characters/angel-ultimate,['Ultimate Universe'],"['Captain Eagle, War']",['Currently undertaking college level classes'],['Unknown'],['Publicly known'],['Unidentified parents']
Angel,https://www.marvel.com/characters/angel-warren-worthington-iii,['Marvel Universe'],"['Archangel, Dark Angel, Death, Avenging Angel, Wings']","[""College degree from Xavier's School for Gifted Youngsters""]","['Centerport, Long Island, New York']",['Publicly known'],"['Warren Kenneth Worthington Sr. (grandfather, deceased), Warren Kenneth Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burtram ""Burt"" Worthington (Dazzler, paternal uncle), Mimi (maternal aunt), unidentified cousin, Wallace Worthington (ancestor, deceased)']"
Angel Dust,https://www.marvel.com/characters/angel-dust,['Marvel Universe'],['Dusty'],['Unrevealed'],"['Chicago, Illinois']",['Secret'],['Unidentified parents']
Angel Face,https://www.marvel.com/characters/angel-face,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Known to authorities'],['Unidentified father']
Angela,https://www.marvel.com/characters/angela-aldrif-odinsdottir,,['Aldrif Odinsdottir'],,,,
Anita Blake,https://www.marvel.com/characters/anita-blake-anita-blake-universe,['Anita Blake Universe'],['The Executioner'],"[""Bachelor's degree in Preternatural Biology, professional training as a vampire executioner""]",['Indiana'],['Publicly known'],
Ankhi,https://www.marvel.com/characters/ankhi,['Marvel Universe'],['None'],['Presumably dropout'],['Sweden'],['Known to authorities'],['Unrevealed']
Dr. Annabelle Riggs,https://www.marvel.com/characters/annabelle-riggs,,,,,,
Annalee,https://www.marvel.com/characters/annalee,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Secret'],"['Four unidentified children (deceased), Leech (adopted son), Artie (adopted son)']"
Anne-Marie Cortez,https://www.marvel.com/characters/anne-marie-cortez,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['No dual identity'],"['Fabian Cortez (brother, deceased)']"
Annie Ghazikhanian,https://www.marvel.com/characters/annie-ghazikhanian,['Marvel Universe'],['None'],['Nursing degree'],"['New Jersey, New York, U.S.A.']",['No dual identity'],"['Unidentified grandparents, unidentified father, Carter Ghazikhanian (son)']"
Annihilus,https://www.marvel.com/characters/annihilus,['Marvel Universe'],"['The Living Death That Walks, Lord of the Negative Zone']",['Unrevealed'],"['Planet of Arthros, Sector 17A, Negative Zone']",['No dual identity'],['Annihilus is a series of clonal scions']
Anole,https://www.marvel.com/characters/anole,['Marvel Universe'],['None'],['Currently in high school level classes'],['Unrevealed location in U.S.A.'],['Known to certain government officials'],['Unidentified parents']
Anomaly,https://www.marvel.com/characters/anomaly,['Marvel Universe'],['None'],['Unrevealed'],['Inapplicable'],"[""Anomaly's existence is unknown to the general populace of Earth""]",['Unrevealed']
Answer,https://www.marvel.com/characters/answer-aaron-nicholson,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Known to the United States Government'],['None']
Ant-Man,https://www.marvel.com/characters/ant-man-eric-o-grady,['Marvel Universe'],"['Agent Burns, Derek Sullivan, Slaying Mantis']",['S.H.I.E.L.D. agent training'],"['Lancaster, Vermont']",['Known to authorities'],"['Unidentified unborn child, unidentified mother']"
Ant-Man,https://www.marvel.com/characters/ant-man-scott-lang,,,,,,
Anthropomorpho,https://www.marvel.com/characters/anthropomorpho,['Marvel Universe'],['None known'],['Unrevealed'],"['Unrevealed, possibly the Dimension of Manifestations']",['Unknown to the general populace of Earth'],['None known']
Anti-Cap,https://www.marvel.com/characters/anti-cap,['Marvel Universe'],['Captain America'],['High school graduate'],"['Sayreville, Oklahoma']",['Secret'],['None']
Antiphon the Overseer,https://www.marvel.com/characters/antiphon-the-overseer,['Marvel Universe'],['Overseer'],['Unrevealed'],['The Living Universe'],"[""Inapplicable; the general populace of Earth was unaware of Antiphon's existence.""]","['Aegis, Brio, Diableri, Tenebrous and several other unnamed siblings']"
Anubis,https://www.marvel.com/characters/anubis,['Marvel Universe'],"['Lord of Death and Rebirth, the Guardian of the Veil, Jackal-God']",['Unrevealed'],['Unrevealed'],['Secret'],"['Geb (grandfather), Nut (grandmother), Osiris (father), Nephthys (mother), Qadesh (wife), Horus (half-brother), Seth (uncle), Isis (aunt, foster mother), Bast (great-grand-uncle)']"
Anvil,https://www.marvel.com/characters/anvil-john-anvil,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Publicly known'],['None']
Apache Kid,https://www.marvel.com/characters/apache-kid-alan-krandal,['Marvel Universe'],['Aloysius Kare'],['Unknown'],['Unrevealed'],['Secret'],"['Red Hawk (caregiver and father figure),']"
Apache Kid,https://www.marvel.com/characters/apache-kid-rosa,['Marvel Universe'],['unrevealed'],['No formal education'],['Unrevealed'],['Secret'],"['Dazii (Apache Kid, husband, deceased), Red Hawk (father-in-law), unnamed parents (deceased)']"
Ape,https://www.marvel.com/characters/ape-morlock,['Marvel Universe'],['None'],['Unrevealed'],['Unrevealed'],['Secret'],['None']
Ape Largo,https://www.marvel.com/characters/ape-largo-earth-1211,['Earth-1211 (Nightside)'],['Ape Largo'],['Unrevealed'],['Unrevealed'],['Publicly known on Earth-1211 (Nightside)'],['Unknown']
Apocalypse,https://www.marvel.com/characters/apocalypse-age-of-apocalypse,['Age of Apocalypse'],"['santa claus,zack eforon']",['none'],['cuba'],['Publicly known'],['Holocaust  (possible son)']
Apocalypse,https://www.marvel.com/characters/apocalypse-earth-58163,['House of M'],['None'],['Millenia of studies and experience'],"['Akkaba, Egypt']",['Publicly known'],['None']
Apocalypse,https://www.marvel.com/characters/apocalypse-en-sabah-nur,['Marvel Universe'],"['High Lord, Forever Walker, Son of the Morning Fire, ""The First One,"" Set, Huitxilopochti, Sauru, Kali-Ma, Aten, many others']",['Centuries of study and experience'],['Akkaba region of Ancient Egypt'],['Secret'],"['Baal (adopted father, deceased)']"
Apocalypse Beast,https://www.marvel.com/characters/apocalypse-beast,['Marvel Universe'],"['Beast of Armageddon, Father Beast, Walking Apocalypse']",['None'],['Unrevealed'],['Secret'],['None']
Apollo,https://www.marvel.com/characters/apollo,['Marvel Universe'],"['Paul Belvedere, Renee Andre, impersonated Marvin Klee']",['Tutored by minor goddesses'],"['Mount Cynthus, Isle of Delos, Greece']",['No dual identity'],"['Zeus (father), Leto (mother), Hera (step-mother), Artemis (sister), Poseidon, Hades (uncles), Heracles, Ares, Hephaestus, Hermes, Dionysus (half-brothers), Aphrodite, Pallas Athena, Eileithyia, Hebe, Discord, Helen, Pandia,  Persephone (half-sisters), Janus, Asclepius (sons)']"
Appraiser,https://www.marvel.com/characters/appraiser,['Marvel Universe'],['Appraiser'],['Unrevealed'],['Unrevealed'],['Secret'],['None known']
Aquarian,https://www.marvel.com/characters/aquarian,['Marvel Universe'],['Herald of the New Age'],['Unknown'],"['Dakkam, second planet in the R Aquarii system (Earth designation)']",['The fact that he is an alien is not widely known.'],"['Hektu (father, deceased), Soja (mother, deceased)']"
Aqueduct,https://www.marvel.com/characters/aqueduct,['Marvel Universe'],['Water Wizard'],['Unrevealed; some military training'],"['Chicago, Illinois']",['Known to the authorities'],['Unrevealed']
Aquon,https://www.marvel.com/characters/aquon,['Marvel Universe'],['None'],"['Unrevealed, but Omen referred to him as mindless']",['Unrevealed'],['Secret'],['Unrevealed']
Arabian Knight,https://www.marvel.com/characters/arabian-knight-abdul-qamar,['Marvel Universe'],['Unrevealed'],['College degrees'],"['Aqabah, Saudi Arabia']",['Secret'],"['Maya, Rana, Almira (wives); Faisal, Hassim (sons); unnamed son; unnamed ancestor (deceased)']"
Julia Carpenter,https://www.marvel.com/characters/arachne-julia-carpenter,['Marvel Universe'],"['Arachne, Spider-Woman, Webs, Web Lady']","['College dropout, federal agent training']","['Los Angeles, California']",['Known to authorities'],"['Rachel Carpenter (daughter), Walter Cornwall (father), Elizabeth Cornwall (mother), Larry Carpenter (ex-husband, deceased)']"
Araki,https://www.marvel.com/characters/araki,['Marvel Universe'],['Grand Vizier'],['Unrevealed'],"[""The Aerie, Shi'ar Empire""]",['No dual identity'],['None']
Aralune,https://www.marvel.com/characters/aralune,['Marvel Universe'],"['""Becky""']","['Unrevealed, but she presumably has at least a high-school education and extensive training in singing, dancing and acting']","['Unrevealed, but possibly somewhere in Texas']",['Publicly known'],['None']
Araña,https://www.marvel.com/characters/spider-girl-anya-corazon,['Marvel Universe'],"['Spider-Girl, Arañita, Spider-Girlie, Spider-Lady, formerly the Hunter']",['High school student'],"['Fort Greene, Brooklyn, New York']","['Secret / known to Amun, people at WebCorps, S.H.I.E.L.D. and Gilberto Corazon']","['Gilberto ""Gil"" Corazon (father), Sofia Araña Corazon (mother, deceased), Benicio Del Corazon (ancestor, deceased)']"
Arc,https://www.marvel.com/characters/arc,['Marvel Universe'],['None'],['Unrevealed'],"[""Unrevealed planet in the Shi'ar Empire""]",['Secret'],['None']
Arcade,https://www.marvel.com/characters/arcade,['Marvel Universe'],"['Mister A, ""Mad Monk"", Pinball Wizard, A.R. Cadenski']","['High school graduate, apparently self-taught in robotics, electronics, engineering and other technical fields']","['Beverly Hills, California']",['Secret'],['Unidentified father (deceased)']
Arcanna,https://www.marvel.com/characters/arcanna,['Earth 31916'],['None'],['Doctorate in quantum physics'],['Unrevealed'],['Known to the general public'],['Unrevealed']
Arch-E-5912,https://www.marvel.com/characters/arch-e-5912,['Marvel Universe'],['None known'],['Unknown'],['Unknown location on the planet Sakaar'],"[""Publicly known on the planet Sakaar; the general populace of Earth was unaware of Arch-E-5912's existence.""]",['Unrevealed']
Arclight,https://www.marvel.com/characters/arclight,['Marvel Universe'],['None'],['Unrevealed; some military training'],['Unrevealed'],['Secret'],['Unrevealed']
Arcturus Rann,https://www.marvel.com/characters/arcturus-rann,['Marvel Universe'],['Formerly Captain Universe'],['Private tutoring and military training'],"['Homeworld, the Microverse']",['Publicly known in Microverse'],"['Dallan and Sepsis Rann (parents, deceased), Wayfinder (ancestor, deceased)']"
Ares,https://www.marvel.com/characters/ares,['Marvel Universe'],"['Mars (Roman name), John Aaron, Mr. Talon, Warhawk']",['Tutored by Olympian scholars'],['Olympus'],['Known to S.H.I.E.L.D. authorities'],"['Alexander (son); Deimos, Phobos (sons, deceased), Monstro (alleged son); Harmonia (daughter); Zeus (father); Hera (mother); Hephaestus (brother); Athena, Hebe (sisters); Apollo, Dionysus, Hercules, Hermes (half-brothers);  Aphrodite, Artemis, Persephone (half-sisters); Neptune and Pluto (uncles); Demeter and Vesta (aunts); Chronus (grandfather); Rhea (grandmother); Ouranos (great-grandfather); Gaea (great-grandmother); numerous other relatives']"
Aria,https://www.marvel.com/characters/aria,['Marvel Universe'],['None'],['Unrevealed'],['Zenna'],['No dual identity'],['None']
Arides,https://www.marvel.com/characters/arides,['Marvel Universe'],['None'],['Unknown'],['Hala'],['Publicly known in Kree Empire'],"['Falzon (father), Murius (mother, deceased)']"
Arishem,https://www.marvel.com/characters/arishem,['Marvel Universe'],['Killer of Planets'],,,,
Arize,https://www.marvel.com/characters/arize,['Marvel Universe'],['unrevealed'],['unrevealed'],['unrevealed'],['General populace of Earth is unaware of his existence'],['unrevealed']
Armadillo,https://www.marvel.com/characters/armadillo,['Marvel Universe'],['None'],['Unrevealed'],"['San Antonio, Texas']",['Secret'],['Maria (wife)']
Armageddon,https://www.marvel.com/characters/armageddon-arm-chedon,['Marvel Universe'],['Warlord of the Troyjan'],['Unrevealed'],['Troyjan home world'],['Secret'],"['Unidentified father (deceased), unidentified wife (deceased), unidentified son (deceased), Trauma (son, deceased)']"
Armor,https://www.marvel.com/characters/armor-hisako-ichiki,['Marvel Universe'],['None'],"['Various courses at Xavier Institute For Higher Learning, Westchester, New York']",['Unrevealed'],['Known to authorities'],['Unidentified ancestors']
Armorer,https://www.marvel.com/characters/armorer,['Marvel Universe'],"[""Zahgurim's servant""]",['Unrevealed'],['Unrevealed'],['Secret'],['None']
Arnim Zola,https://www.marvel.com/characters/arnim-zola,['Marvel Universe'],['The Bio-Fanatic'],"['Unrevealed, but extensive']","['Weisshorn Mountains, Switzerland']",['No dual identity'],['Unidentified ancestors (deceased)']
Arranger,https://www.marvel.com/characters/arranger,['Marvel Universe'],['None'],['College graduate'],"['Westport, Connecticut']",['Publicly known'],['None']
Arsenal,https://www.marvel.com/characters/arsenal,['Marvel Universe'],['Unrevealed'],['Unrevealed'],['Unrevealed'],['Unrevealed'],['Unrevealed']
Artie Maddicks,https://www.marvel.com/characters/artie-maddicks,['Marvel Universe'],['None'],['Unknown'],['unknown'],['Secret'],"['Dr. Carl Maddicks (father, deceased)']"
Artume,https://www.marvel.com/characters/artume,['Marvel Universe'],['None'],['Unrevealed'],['Olympus'],['No dual identity'],"['Hippolyta (mother), Ares (grandfather), Otera (grandmother, possibly deceased), Zeus (great-grandfather)']"
Asbestos Lady,https://www.marvel.com/characters/asbestos-lady,['Marvel Universe'],['None'],['College graduate'],['Unrevealed'],['Secret'],"['Killer Murdock (brother, deceased)']"
Asbestos Man,https://www.marvel.com/characters/asbestos-man,['Marvel Universe'],,['Ph.D. in analytical chemistry'],['Unrevealed'],['Known to authorities'],['Unrevealed']
Asgardians,https://www.marvel.com/characters/asgardians,,,,,,
Ashcan,https://www.marvel.com/characters/ashcan,['Marvel Universe'],['None'],['Junior high school student'],"['New York City, New York']",['Secret'],"['Fritz Woolcot (father, deceased), Evelyn Woolcot (mother), Dylan Pattinson (adoptive father)']"
Asmodeus,https://www.marvel.com/characters/asmodeus,['Marvel Universe'],"['Azmodeus, Lord Asmodeus, ; possibly Asmodiar']",['Unrevealed'],['Unrevealed'],['Existence unknown to the general public'],"['Numerous offspring via Lilith; possibly Beliar (son), possible quasi-parental relationship to Daimon and Satana Hellstorm']"
Asp,https://www.marvel.com/characters/asp-cleo-nefertiti,['Marvel Universe'],['The Temptress (her stage name)'],['Unrevealed'],"['Tanta, Egypt']",['Secret'],['Unrevealed']
Assassin,https://www.marvel.com/characters/assassin-mimeyoshi,['Marvel Universe'],['Mimeyoshi'],['Inapplicable'],['Inapplicable'],['No dual identity'],['Inapplicable']
Asteroth,https://www.marvel.com/characters/asteroth,['Marvel Universe'],['Omega Ray'],['Unrevealed'],['Unrevealed'],['Extradimensional demon'],['Unrevealed']
Astra,https://www.marvel.com/characters/astra,['Marvel Universe'],['None'],['Unrevealed'],"[""Unrevealed planet in the Shi'ar Empire""]",['Secret'],['None']
Astronomer,https://www.marvel.com/characters/astronomer,['Marvel Universe'],['None'],,['Unrevealed'],"[""The general populace of Earth is unaware of the Astronomer's existence""]",['None known']
Asylum,https://www.marvel.com/characters/asylum-henrique-gallante,['Marvel Universe'],"['Darkling, Henry Gallante, Manny Gallante']",['High school dropout'],['Unrevealed'],['Publicly known'],['Unrevealed']
Atalon,https://www.marvel.com/characters/atalon-earth-93060,['Ultraverse (Earth-93060)'],,['Unrevealed'],['Unrevealed'],['Publicly known'],['Unknown']
ATLAS,https://www.marvel.com/characters/atlas-erik-josten,['Marvel Universe'],"['Power Man, Smuggler, Goliath']","['High school dropout, military training']","['Milwaukee, Wisconsin']",['Publicly known'],"['Parents (full names unrevealed, deceased), Carl Josten (brother, deceased), Conrad Josten (Smuggler, brother), Lindy Josten (sister, deceased)']"
Atlas,https://www.marvel.com/characters/atlas-steve-rand,['Marvel Universe'],['None'],['Unrevealed'],"['Hollywood, California']",['Publicly known'],['None']
Atlez,https://www.marvel.com/characters/atlez,['Marvel Universe'],['Anchor of the 616 universe reality'],['Unrevealed'],['Unrevealed'],['Unknown to general populace of Earth'],['None']
Atleza,https://www.marvel.com/characters/atleza,['Marvel Universe'],['unrevealed'],"[""Data transferred from Atlez's mind; mentored by Adam Warlock""]","['Pine Bush, New York']",['No dual identity; true nature unknown to general public'],"['Brian Langunn (father), Debby Langunn (mother), Ruby Langunn (sister)']"
